zip,ssacnty,ssastco,countyname,city,stabbr,state
01886,090,22090,Middlesex,Westford,MA,Massachusetts
01887,090,22090,Middlesex,Wilmington,MA,Massachusetts
01887,040,22040,Essex,Wilmington,MA,Massachusetts
01888,090,22090,Middlesex,Woburn,MA,Massachusetts
01889,090,22090,Middlesex,North Reading,MA,Massachusetts
01890,090,22090,Middlesex,Winchester,MA,Massachusetts
01899,040,22040,Essex,Andover,MA,Massachusetts
01901,040,22040,Essex,Lynn,MA,Massachusetts
01902,040,22040,Essex,Lynn,MA,Massachusetts
01903,040,22040,Essex,Lynn,MA,Massachusetts
01904,040,22040,Essex,Lynn,MA,Massachusetts
01905,040,22040,Essex,Lynn,MA,Massachusetts
01906,040,22040,Essex,Saugus,MA,Massachusetts
01907,040,22040,Essex,Swampscott,MA,Massachusetts
01908,040,22040,Essex,Nahant,MA,Massachusetts
01913,040,22040,Essex,Amesbury,MA,Massachusetts
01915,040,22040,Essex,Beverly,MA,Massachusetts
01921,040,22040,Essex,Boxford,MA,Massachusetts
01922,040,22040,Essex,Byfield,MA,Massachusetts
01923,040,22040,Essex,Danvers,MA,Massachusetts
01929,040,22040,Essex,Essex,MA,Massachusetts
01930,040,22040,Essex,Gloucester,MA,Massachusetts
01931,040,22040,Essex,Gloucester,MA,Massachusetts
01936,040,22040,Essex,Hamilton,MA,Massachusetts
01937,040,22040,Essex,Hathorne,MA,Massachusetts
01938,040,22040,Essex,Ipswich,MA,Massachusetts
01940,040,22040,Essex,Lynnfield,MA,Massachusetts
01944,040,22040,Essex,Manchester,MA,Massachusetts
01945,040,22040,Essex,Marblehead,MA,Massachusetts
01949,040,22040,Essex,Middleton,MA,Massachusetts
01950,040,22040,Essex,Newburyport,MA,Massachusetts
01951,040,22040,Essex,Newbury,MA,Massachusetts
01952,040,22040,Essex,Salisbury,MA,Massachusetts
01960,040,22040,Essex,Peabody,MA,Massachusetts
01961,040,22040,Essex,Peabody,MA,Massachusetts
01965,040,22040,Essex,Prides Crossing,MA,Massachusetts
01966,040,22040,Essex,Rockport,MA,Massachusetts
01969,040,22040,Essex,Rowley,MA,Massachusetts
01970,040,22040,Essex,Salem,MA,Massachusetts
01971,040,22040,Essex,Salem,MA,Massachusetts
